Date,Open,High,Low,Close,Adj Close,Volume
2020-06-06,730323.687500,738524.500000,724741.000000,729475.437500,729475.437500,1544418929326
2020-06-07,729424.375000,738194.187500,714700.437500,736968.500000,736968.500000,1889100462600
2020-06-08,737059.937500,738466.437500,730342.125000,736812.812500,736812.812500,1620163934552
2020-06-09,737029.250000,741707.875000,730532.062500,739674.750000,739674.750000,1790937723912
2020-06-10,739555.375000,749608.500000,735070.062500,746965.187500,746965.187500,1945463807353
2020-06-11,746964.000000,751236.437500,705290.562500,708222.812500,708222.812500,2298028235225
2020-06-12,708139.937500,724027.375000,705493.000000,720136.437500,720136.437500,1717430648890
2020-06-13,720128.250000,721075.875000,713692.687500,719713.625000,719713.625000,1334133230095
2020-06-14,719886.562500,720244.875000,710019.250000,712992.687500,712992.687500,1442555993737
2020-06-15,712935.562500,721046.750000,684210.750000,718047.812500,718047.812500,2028596843824
2020-06-16,718318.625000,726470.375000,714233.125000,728741.812500,728741.812500,1647690113206
2020-06-17,728417.812500,728927.000000,711676.000000,724133.625000,724133.625000,1541240975009
2020-06-18,724233.812500,724326.625000,712640.000000,719070.687500,719070.687500,1357645838650
2020-06-19,718952.562500,718565.437500,707185.937500,708232.312500,708232.312500,1497001184440
2020-06-20,708456.625000,716387.750000,705133.500000,711612.000000,711612.000000,1306242337463
2020-06-21,711504.125000,716855.625000,709179.687500,709423.625000,709423.625000,1168513976231
2020-06-22,709216.687500,731543.687500,708956.687500,731276.812500,731276.812500,1599473936264
2020-06-23,730925.000000,730299.750000,723541.937500,728123.000000,728123.000000,1285899786104
2020-06-24,728311.375000,732440.750000,702283.500000,705452.875000,705452.875000,1436241910945
2020-06-25,705492.000000,705446.875000,689129.875000,699862.625000,699862.625000,1406253576657
2020-06-26,699574.187500,705131.937500,688660.812500,692973.125000,692973.125000,1387128378290
2020-06-27,693344.187500,696368.312500,680517.125000,684084.812500,684084.812500,1306329488325
2020-06-28,684317.000000,695592.062500,678801.062500,691438.187500,691438.187500,1101093818614
2020-06-29,691169.500000,697373.937500,682942.500000,694011.062500,694011.062500,1242953193437
2020-06-30,693612.875000,695808.250000,686641.062500,690443.937500,690443.937500,1188957538042
2020-07-01,691047.750000,703142.562500,687681.062500,696325.687500,696325.687500,1205137468686
2020-07-02,696538.062500,692955.750000,675871.687500,683252.187500,683252.187500,1223621478854
2020-07-03,683359.437500,687875.687500,676505.812500,678634.875000,678634.875000,976730347665
2020-07-04,678405.562500,685803.437500,676120.062500,682009.187500,682009.187500,917849897427
2020-07-05,681531.437500,684226.812500,670295.000000,677638.000000,677638.000000,963620628770
2020-07-06,677556.375000,699483.062500,676498.687500,699483.062500,699483.062500,1334677680387
2020-07-07,697519.875000,698375.562500,688525.937500,693029.312500,693029.312500,1036640466392
2020-07-08,693084.937500,708260.500000,692829.625000,706560.625000,706560.625000,1476497627657
2020-07-09,706535.187500,706637.062500,693951.125000,697124.250000,697124.250000,1352529585977
2020-07-10,696777.812500,698034.312500,686015.687500,697383.125000,697383.125000,1267178358011
2020-07-11,697285.750000,698489.812500,691421.375000,694832.437500,694832.437500,996333640797
2020-07-12,694885.750000,700778.375000,691606.875000,697210.000000,697210.000000,1086221282035
2020-07-13,697263.000000,699493.187500,693621.250000,695231.125000,695231.125000,1317701673086
2020-07-14,694861.812500,699261.375000,691401.000000,696265.937500,696265.937500,1362296368753
2020-07-15,696166.750000,698685.687500,688936.375000,690849.562500,690849.562500,1190745045898
2020-07-16,690785.125000,692463.437500,684093.187500,686567.750000,686567.750000,1181387863829
